Province/State,Region code,Country/Region,Lat,Long
An Giang,VN-44,Vietnam,10.5216,105.1259
Ba Ria - Vung Tau,VN-43,Vietnam,10.4963,107.1684
Bac Giang,VN-54,Vietnam,21.267,106.2
Bac Kan,VN-53,Vietnam,22.1333,105.8333
Bac Lieu,VN-55,Vietnam,9.2804,105.72
Bac Ninh,VN-56,Vietnam,21.1861,106.0763
Ben Tre,VN-50,Vietnam,10.235,106.375
Binh Dinh,VN-31,Vietnam,13.886,109.1077
Binh Duong,VN-57,Vietnam,11.3254,106.477
Binh Phuoc,VN-58,Vietnam,11.7512,106.7235
Binh Thuan,VN-40,Vietnam,11.0904,108.0721
Ca Mau,VN-59,Vietnam,9.1774,105.15
Can Tho,VN-CT,Vietnam,10.05,105.77
Cao Bang,VN-04,Vietnam,22.664,106.268
Da Nang,VN-DN,Vietnam,16.0748,108.224
Dak Lak,VN-33,Vietnam,12.71,108.2378
Dak Nong,VN-72,Vietnam,12.2646,107.6098
Dien Bien,VN-71,Vietnam,21.4064,103.0322
Dong Nai,VN-39,Vietnam,11.0686,107.1676
Dong Thap,VN-45,Vietnam,10.4938,105.0191
Gia Lai,VN-30,Vietnam,13.8079,108.1094
Ha Giang,VN-03,Vietnam,22.8337,104.9833
Ha Nam,VN-63,Vietnam,20.5835,105.923
Ha Tinh,VN-23,Vietnam,18.3338,105.9
Hai Duong,VN-61,Vietnam,20.942,106.331
Hai Phong,VN-HP,Vietnam,20.83,106.6801
Hanoi,VN-HN,Vietnam,21.0333,105.85
Hau Giang,VN-73,Vietnam,9.7579,105.6413
Ho Chi Minh City,VN-SG,Vietnam,10.78,106.695
Hoa Binh,VN-14,Vietnam,20.8137,105.3383
Hung Yen,VN-66,Vietnam,20.6464,106.0511
Khanh Hoa,VN-34,Vietnam,12.2585,109.0526
Kien Giang,VN-47,Vietnam,9.825,105.1259
Kon Tum,VN-28,Vietnam,14.3838,107.9833
Lai Chau,VN-01,Vietnam,22.3964,103.4582
Lam Dong,VN-35,Vietnam,11.5753,108.1429
Lang Son,VN-09,Vietnam,21.846,106.757
Lao Cai,VN-02,Vietnam,22.5014,103.966
Long An,VN-41,Vietnam,10.6956,106.2431
Nam Dinh,VN-67,Vietnam,20.42,106.2
Nghe An,VN-22,Vietnam,19.2342,104.92
Ninh Binh,VN-18,Vietnam,20.2543,105.975
Ninh Thuan,VN-36,Vietnam,11.6739,108.863
Phu Tho,VN-68,Vietnam,21.2684,105.2046
Phu Yen,VN-32,Vietnam,13.0882,109.0929
Quang Binh,VN-24,Vietnam,17.6103,106.3487
Quang Nam,VN-27,Vietnam,15.5394,108.0191
Quang Ngai,VN-29,Vietnam,15.1504,108.83
Quang Ninh,VN-13,Vietnam,21.0064,107.2925
Quang Tri,VN-25,Vietnam,16.7504,107.2
Soc Trang,VN-52,Vietnam,9.6037,105.98
Son La,VN-05,Vietnam,21.328,103.91
Tay Ninh,VN-37,Vietnam,11.323,106.147
Thai Binh,VN-20,Vietnam,20.4503,106.333
Thai Nguyen,VN-69,Vietnam,21.6,105.83
Thanh Hoa,VN-21,Vietnam,19.82,105.8
Hue,VN-26,Vietnam,16.47,107.58
Tien Giang,VN-46,Vietnam,10.4493,106.3421
Tra Vinh,VN-51,Vietnam,9.934,106.334
Tuyen Quang,VN-07,Vietnam,21.818,105.211
Vinh Long,VN-49,Vietnam,10.256,105.964
Vinh Phuc,VN-70,Vietnam,21.361,105.547
Yen Bai,VN-06,Vietnam,21.705,104.875
